ID	AGE Log (text)
Age25Log5	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log6	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log7	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log8	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log9	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log10	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age26Log1	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log2	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log3	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log4	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log5	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log6	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log7	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log8	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log9	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age26Log10	У меня сломано 4 ребра. Зато я теперь умею кататься на лыжах.
Age27Log1	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log2	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log3	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log4	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log5	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log6	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log7	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log8	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log9	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age27Log10	Завидую тем, у кого есть время на видеоигры. У меня его нет совсем.
Age28Log1	Мне сделали операцию на аппендиксе. Было больно.
Age28Log2	Мне сделали операцию на аппендиксе. Было больно.
Age28Log3	Мне сделали операцию на аппендиксе. Было больно.
Age28Log4	Мне сделали операцию на аппендиксе. Было больно.
Age28Log5	Мне сделали операцию на аппендиксе. Было больно.
Age28Log6	Мне сделали операцию на аппендиксе. Было больно.
Age28Log7	Мне сделали операцию на аппендиксе. Было больно.
Age28Log8	Мне сделали операцию на аппендиксе. Было больно.
Age28Log9	Мне сделали операцию на аппендиксе. Было больно.
Age28Log10	Мне сделали операцию на аппендиксе. Было больно.
Age29Log1	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log2	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log3	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log4	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log5	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log6	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log7	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log8	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log9	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age29Log10	Умер сосед. Я знаю, мы все умрем, но все равно страшно.
Age30Log1	Надо мной пролетел UFO. А может это был метеорит?
Age30Log2	Надо мной пролетел UFO. А может это был метеорит?
Age30Log3	Надо мной пролетел UFO. А может это был метеорит?
Age30Log4	Надо мной пролетел UFO. А может это был метеорит?
Age30Log5	Надо мной пролетел UFO. А может это был метеорит?
Age30Log6	Надо мной пролетел UFO. А может это был метеорит?
Age30Log7	Надо мной пролетел UFO. А может это был метеорит?
Age30Log8	Надо мной пролетел UFO. А может это был метеорит?
Age30Log9	Надо мной пролетел UFO. А может это был метеорит?
Age30Log10	Надо мной пролетел UFO. А может это был метеорит?
Age31Log1	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log2	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log3	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log4	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log5	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log6	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log7	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log8	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log9	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age31Log10	Многие знакомые достигли в жизни больше, чем я. Грустно.
Age32Log1	Мой дом ограбили. К счастью, он был застрахован.
Age32Log2	Мой дом ограбили. К счастью, он был застрахован.
Age32Log3	Мой дом ограбили. К счастью, он был застрахован.
Age32Log4	Мой дом ограбили. К счастью, он был застрахован.
Age32Log5	Мой дом ограбили. К счастью, он был застрахован.
Age32Log6	Мой дом ограбили. К счастью, он был застрахован.
Age32Log7	Мой дом ограбили. К счастью, он был застрахован.
Age32Log8	Мой дом ограбили. К счастью, он был застрахован.
Age32Log9	Мой дом ограбили. К счастью, он был застрахован.
Age32Log10	Мой дом ограбили. К счастью, он был застрахован.
Age33Log1	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log2	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log3	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log4	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log5	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log6	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log7	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log8	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log9	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age33Log10	Заболело сердце. Интересно, само пройдет или пойти к врачу?
Age34Log1	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log2	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log3	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log4	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log5	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log6	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log7	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log8	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log9	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age34Log10	Окружающие люди относятся ко мне с уважением. Или мне это только кажется.
Age35Log1	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log2	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log3	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log4	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log5	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log6	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log7	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log8	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log9	Людей смущает цвет моих волос. А я люблю все зеленое.
Age35Log10	Людей смущает цвет моих волос. А я люблю все зеленое.
Age36Log1	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log2	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log3	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log4	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log5	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log6	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log7	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log8	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log9	Переезды утомляют, даже если это переезд на новую квартиру.
Age36Log10	Переезды утомляют, даже если это переезд на новую квартиру.
Age37Log1	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log2	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log3	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log4	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log5	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log6	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log7	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log8	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log9	Глупость, конечно, но мне стало нравиться пение птиц
Age37Log10	Глупость, конечно, но мне стало нравиться пение птиц
Age38Log1	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log2	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log3	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log4	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log5	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log6	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log7	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log8	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log9	Продуло шею, не могу повернуть. Раньше такого не было
Age38Log10	Продуло шею, не могу повернуть. Раньше такого не было
Age39Log1	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log2	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log3	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log4	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log5	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log6	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log7	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log8	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log9	В этом году снег выпал в сентябре. Что происходит с планетой?
Age39Log10	В этом году снег выпал в сентябре. Что происходит с планетой?
Age40Log1	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log2	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log3	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log4	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log5	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log6	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log7	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log8	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log9	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age40Log10	Вечеринку в честь моего юбилея запомнят все, кроме меня. Ничего не помню.
Age41Log1	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log2	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log3	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log4	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log5	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log6	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log7	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log8	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log9	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age41Log10	Мой образ жизни не менялся. Откуда же взялись лишние 5 кг?
Age42Log1	Меня никто не любит. Но это не точно.
Age42Log2	Меня никто не любит. Но это не точно.
Age42Log3	Меня никто не любит. Но это не точно.
Age42Log4	Меня никто не любит. Но это не точно.
Age42Log5	Меня никто не любит. Но это не точно.
Age42Log6	Меня никто не любит. Но это не точно.
Age42Log7	Меня никто не любит. Но это не точно.
Age42Log8	Меня никто не любит. Но это не точно.
Age42Log9	Меня никто не любит. Но это не точно.
Age42Log10	Меня никто не любит. Но это не точно.
Age43Log1	У меня появилась одышка. Надо сходить к врачу.
Age43Log2	У меня появилась одышка. Надо сходить к врачу.
Age43Log3	У меня появилась одышка. Надо сходить к врачу.
Age43Log4	У меня появилась одышка. Надо сходить к врачу.
Age43Log5	У меня появилась одышка. Надо сходить к врачу.
Age43Log6	У меня появилась одышка. Надо сходить к врачу.
Age43Log7	У меня появилась одышка. Надо сходить к врачу.
Age43Log8	У меня появилась одышка. Надо сходить к врачу.
Age43Log9	У меня появилась одышка. Надо сходить к врачу.
Age43Log10	У меня появилась одышка. Надо сходить к врачу.
Age44Log1	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log2	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log3	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log4	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log5	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log6	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log7	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log8	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log9	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age44Log10	Год пролетел, как один месяц. В интернете пишут, что это Матрица прокликивает годы нашей жизни.
Age45Log1	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log2	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log3	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log4	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log5	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log6	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log7	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log8	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log9	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age45Log10	У меня появился любимый сериал. А раньше мне вообще сериалы не нравились.
Age46Log1	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log2	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log3	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log4	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log5	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log6	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log7	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log8	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log9	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age46Log10	В этом году лета не было. Говорят, это оттого, что Гольфстрим останавливается.
Age47Log1	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log2	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log3	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log4	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log5	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log6	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log7	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log8	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log9	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age47Log10	Чем больше работаешь, тем больше работы. По моему, это сказал Конфуций
Age48Log1	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log2	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log3	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log4	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log5	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log6	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log7	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log8	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log9	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age48Log10	У меня растут волосы не там где надо, а где надо - выпадают. Это уже старость, или еще нет?
Age49Log1	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log2	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log3	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log4	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log5	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log6	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log7	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log8	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log9	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age49Log10	Незнакомая маленькая девочка с серьезным лицом сказала, что я скоро умру.
Age50Log1	Age50Log1
Age50Log2	Age50Log2
Age50Log3	Age50Log3
Age50Log4	Age50Log4
Age50Log5	Age50Log5
Age50Log6	Age50Log6
Age50Log7	Age50Log7
Age50Log8	Age50Log8
Age50Log9	Age50Log9
Age50Log10	Age50Log10
Age51Log1	Age51Log1
Age51Log2	Age51Log2
Age51Log3	Age51Log3
Age51Log4	Age51Log4
Age51Log5	Age51Log5
Age51Log6	Age51Log6
Age51Log7	Age51Log7
Age51Log8	Age51Log8
Age51Log9	Age51Log9
Age51Log10	Age51Log10
Age52Log1	Age52Log1
Age52Log2	Age52Log2
Age52Log3	Age52Log3
Age52Log4	Age52Log4
Age52Log5	Age52Log5
Age52Log6	Age52Log6
Age52Log7	Age52Log7
Age52Log8	Age52Log8
Age52Log9	Age52Log9
Age52Log10	Age52Log10
Age53Log1	Age53Log1
Age53Log2	Age53Log2
Age53Log3	Age53Log3
Age53Log4	Age53Log4
Age53Log5	Age53Log5
Age53Log6	Age53Log6
Age53Log7	Age53Log7
Age53Log8	Age53Log8
Age53Log9	Age53Log9
Age53Log10	Age53Log10
Age54Log1	Age54Log1
Age54Log2	Age54Log2
Age54Log3	Age54Log3
Age54Log4	Age54Log4
Age54Log5	Age54Log5
Age54Log6	Age54Log6
Age54Log7	Age54Log7
Age54Log8	Age54Log8
Age54Log9	Age54Log9
Age54Log10	Age54Log10
Age55Log1	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log2	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log3	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log4	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log5	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log6	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log7	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log8	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log9	Завершился последний сезон любимого сериала. Моя жизнь кончена.
Age55Log10	Завершился последний сезон любимого сериала. Моя жизнь кончена.
